titulo,subtitulo,autor,editor,isbn,descricao,idioma,ano_publicacao,paginas,preco,estoque,desconto,disponivel,dimensoes,peso
"Bisa Bia, Bisa Bel",Encontro entre gerações e identidades,Ana Maria Machado,Salamandra,9780000000017,Encontro entre gerações e identidades — edição em capa comum.,Português,1981,128,25.14,97,10.00,True,22x13x3.6 cm,586.13
Agosto,Romance policial na Era Vargas,Rubem Fonseca,Companhia das Letras,9780000000018,Romance policial na Era Vargas — edição em capa comum.,Português,1990,328,39.82,52,5.00,True,23x15x1.3 cm,923.28
Comédias para se Ler na Escola,Crônicas bem-humoradas do cotidiano,Luis Fernando Verissimo,Objetiva,9780000000019,Crônicas bem-humoradas do cotidiano — edição em capa comum.,Português,2001,200,90.80,111,10.00,True,21x13x3.7 cm,937.56
Triste Fim de Policarpo Quaresma,Patriotismo e tragédia na Primeira República,Afonso Henriques Lima Barreto,Companhia das Letras,9780000000020,Patriotismo e tragédia na Primeira República — edição em capa comum.,Português,1915,224,31.32,67,0.00,True,23x14x3.9 cm,312.10
Ensaio sobre a Cegueira,Uma cidade tomada pela escuridão,José Saramago,Companhia das Letras,9780000000021,Uma cidade tomada pela escuridão — edição em capa comum.,Português,1995,312,64.48,82,15.00,True,22x14x2.3 cm,717.35
Mensagem,Poemas sobre a história e o mito de Portugal,Fernando Pessoa,Companhia das Letras,9780000000022,Poemas sobre a história e o mito de Portugal — edição em capa comum.,Português,1934,120,52.91,120,20.00,False,21x13x1.8 cm,450.47
Os Maias,Crônica de uma família lisboeta,Eça de Queirós,Companhia das Letras,9780000000023,Crônica de uma família lisboeta — edição em capa comum.,Português,1888,700,69.02,34,20.00,True,20x13x3.2 cm,227.10
Terra Sonâmbula,Moçambique entre guerra e sonho,Mia Couto,Companhia das Letras,9780000000024,Moçambique entre guerra e sonho — edição em capa comum.,Português,1992,224,29.96,9,10.00,True,22x14x3.1 cm,351.39
Olhos d’Água,"Contos de afeto, luta e memória",Conceição Evaristo,Pallas,9780000000025,"Contos de afeto, luta e memória — edição em capa comum.",Português,2014,136,34.82,117,20.00,False,23x14x3.5 cm,332.33
Lavoura Arcaica,Conflito familiar e desejo,Raduan Nassar,Companhia das Letras,9780000000026,Conflito familiar e desejo — edição em capa comum.,Português,1975,200,32.17,60,10.00,False,23x16x3.6 cm,223.34
A Obscena Senhora D,Monólogo visceral e poético,Hilda Hilst,Companhia das Letras,9780000000027,Monólogo visceral e poético — edição em capa comum.,Português,1982,160,73.91,87,0.00,True,22x16x3.4 cm,267.42
Quarto de Despejo,Diário de uma favelada,Carolina Maria de Jesus,Ática,9780000000028,Diário de uma favelada — edição em capa comum.,Português,1960,200,39.27,73,15.00,True,21x16x2.0 cm,379.85
Viva o Povo Brasileiro,Sátira épica da formação do Brasil,João Ubaldo Ribeiro,Alfaguara,9780000000029,Sátira épica da formação do Brasil — edição em capa comum.,Português,1984,672,94.14,61,20.00,True,24x13x3.5 cm,955.20
O Vampiro de Curitiba,Contos ferinos e urbanos,Dalton Trevisan,Record,9780000000030,Contos ferinos e urbanos — edição em capa comum.,Português,1965,160,94.38,113,5.00,True,23x16x2.5 cm,871.72
Poema Sujo,Fluxo de memória e linguagem,Ferreira Gullar,José Olympio,9780000000031,Fluxo de memória e linguagem — edição em capa comum.,Português,1976,88,92.58,26,15.00,True,22x16x3.8 cm,808.10
Antologia Poética,Seleção de poemas essenciais,Vinicius de Moraes,Companhia das Letras,9780000000032,Seleção de poemas essenciais — edição em capa comum.,Português,1962,256,46.29,94,20.00,False,21x14x2.0 cm,954.97
Bagagem,Estreia poética de Adélia Prado,Adélia Prado,Record,9780000000033,Estreia poética de Adélia Prado — edição em capa comum.,Português,1976,144,68.34,74,0.00,True,20x13x2.8 cm,582.28
Livro sobre Nada,A poesia do ínfimo e do espanto,Manuel de Barros,Record,9780000000034,A poesia do ínfimo e do espanto — edição em capa comum.,Português,1996,136,88.85,25,0.00,True,20x14x2.9 cm,720.17
Cante lá que eu canto cá,Versos populares do sertão,Patativa do Assaré,Hedra,9780000000035,Versos populares do sertão — edição em capa comum.,Português,2001,160,42.54,20,20.00,True,24x13x1.4 cm,705.90
O Quinze,"Seca, sobrevivência e afeto",Rachel de Queiroz,José Olympio,9780000000036,"Seca, sobrevivência e afeto — edição em capa comum.",Português,1930,208,67.29,45,10.00,True,21x15x1.9 cm,284.70
Invenção de Orfeu,Poema-livro moderno,Jorge de Lima,José Olympio,9780000000037,Poema-livro moderno — edição em capa comum.,Português,1952,416,73.31,63,10.00,True,23x13x2.9 cm,630.39
O Cortiço,Naturalismo e crítica social,Aluísio Azevedo,Companhia das Letras,9780000000038,Naturalismo e crítica social — edição em capa comum.,Português,1890,288,32.40,73,5.00,True,22x14x3.7 cm,883.42
A Borboleta Amarela,Crônicas e memórias,Rubem Braga,Record,9780000000039,Crônicas e memórias — edição em capa comum.,Português,1959,176,52.61,25,15.00,True,24x13x2.0 cm,710.71
Vestido de Noiva,Revolução no teatro brasileiro,Nelson Rodrigues,Nova Fronteira,9780000000040,Revolução no teatro brasileiro — edição em capa comum.,Português,1943,144,95.32,22,10.00,True,24x13x1.6 cm,405.41
Assassinato no Expresso do Oriente,Um caso de Hercule Poirot,Agatha Christie,HarperCollins Brasil,9780000000041,Um caso de Hercule Poirot — edição em capa comum.,Português,1934,288,40.70,48,5.00,True,22x16x3.7 cm,856.88
It: A Coisa,O terror que retorna a Derry,Stephen King,Suma,9780000000042,O terror que retorna a Derry — edição em capa comum.,Português,1986,1104,31.82,59,10.00,True,22x13x3.4 cm,689.69
Harry Potter e a Pedra Filosofal,O início da saga do bruxo,J. K. Rowling,Rocco,9780000000043,O início da saga do bruxo — edição em capa comum.,Português,1997,264,44.55,99,15.00,False,20x13x1.4 cm,886.49
A Guerra dos Tronos,Crônicas de Gelo e Fogo – Livro 1,George R. R. Martin,LeYa,9780000000044,Crônicas de Gelo e Fogo – Livro 1 — edição em capa comum.,Português,1996,800,92.69,74,0.00,True,23x14x1.6 cm,426.61
O Senhor dos Anéis: A Sociedade do Anel,A jornada começa na Terra-média,J. R. R. Tolkien,HarperCollins Brasil,9780000000045,A jornada começa na Terra-média — edição em capa comum.,Português,1954,576,92.32,106,0.00,True,21x14x3.1 cm,462.94
Cem Anos de Solidão,A saga dos Buendía em Macondo,Gabriel García Márquez,Record,9780000000046,A saga dos Buendía em Macondo — edição em capa comum.,Português,1967,448,66.89,116,15.00,True,21x14x3.9 cm,828.62
O Velho e o Mar,A luta de um pescador com um marlim,Ernest Hemingway,Bertrand Brasil,9780000000047,A luta de um pescador com um marlim — edição em capa comum.,Português,1952,136,91.01,8,5.00,True,21x16x1.9 cm,809.90
A Casa dos Espíritos,Magia e política na América Latina,Isabel Allende,Bertrand Brasil,9780000000048,Magia e política na América Latina — edição em capa comum.,Português,1982,464,33.01,116,0.00,False,21x14x3.5 cm,548.24
O Código Da Vinci,"Mistério, arte e simbologia",Dan Brown,Arqueiro,9780000000049,"Mistério, arte e simbologia — edição em capa comum.",Português,2003,432,47.79,106,5.00,True,21x13x2.3 cm,402.88
O Pequeno Príncipe,Um conto filosófico para todas as idades,Antoine de Saint-Exupéry,Agir,9780000000050,Um conto filosófico para todas as idades — edição em capa comum.,Português,1943,96,30.11,103,10.00,True,24x16x2.1 cm,202.08
